sku,name,description,category,subcategory,gender,gender_category,age_group,color,pattern,style,product_image,model_image_1,model_image_2,model_image_3,status,featured,created_at
ZC-F0001,Beige Apparel,Female's beige apparel. Casual style.,Apparel,Apparel,Female,Women,Adults,Beige,,casual,extracted-products/female_beige_heels__DSC6503_2.png,model-poses/female_casual_chic_front_standing__DSC6503.png,model-poses/female_casual_chic_three_quarter__DSC6503.png,model-poses/female_casual_chic_casual_lifestyle__DSC6503.png,published,false,2025-11-28T15:56:27.939852
ZC-F0002,Beige Hoodie - Graphic,Female's beige hoodie with graphic design. Casual style.,Tops,Hoodie,Female,Women,Adults,Beige,graphic,casual,extracted-products/female_beige_hoodie_graphic_SONY_ILCE-7RM5_9600x6376_000237_1.png,,,,published,false,2025-11-28T15:56:27.941025
ZC-F0003,Beige Pants,Female's beige pants. Casual style.,Bottoms,Pants,Female,Women,Adults,Beige,,casual,extracted-products/female_beige_pants__DSC3952_Large_2.png,model-poses/female_smart_casual_front_standing__DSC3952_Large.png,model-poses/female_smart_casual_three_quarter__DSC3952_Large.png,model-poses/female_smart_casual_casual_lifestyle__DSC3952_Large.png,published,false,2025-11-28T15:56:27.941486
ZC-F0004,Beige Sweatpants - Graphic,Female's beige sweatpants with graphic design. Casual style.,Bottoms,Sweatpants,Female,Women,Adults,Beige,graphic,casual,extracted-products/female_beige_sweatpants_graphic_SONY_ILCE-7RM5_9600x6376_000237_2.png,,,,published,false,2025-11-28T15:56:27.941592
ZC-F0005,Beige Tunic - Graphic,Female's beige tunic with graphic design. Casual style.,Tops,Tunic,Female,Women,Adults,Beige,graphic,casual,extracted-products/female_beige_tunic_graphic_file_1616x1080_001321_Large_1.png,,,,published,false,2025-11-28T15:56:27.941656
ZC-F0006,Beige T - Graphic,Female's beige t with graphic design. Casual style.,Apparel,T,Female,Women,Adults,Beige,graphic,casual,extracted-products/female_beige_t_shirt_graphic__DSC6666_1.png,model-poses/female_streetwear_front_standing__DSC6666.png,model-poses/female_streetwear_three_quarter__DSC6666.png,model-poses/female_streetwear_casual_lifestyle__DSC6666.png,published,false,2025-11-28T15:56:27.941718
ZC-F0007,Black Blouse - Graphic,Female's black blouse with graphic design. Casual style.,Tops,Blouse,Female,Women,Adults,Black,graphic,casual,extracted-products/female_black_blouse_graphic__DSC3952_Large_1.png,model-poses/female_smart_casual_front_standing__DSC3952_Large.png,model-poses/female_smart_casual_three_quarter__DSC3952_Large.png,model-poses/female_smart_casual_casual_lifestyle__DSC3952_Large.png,published,false,2025-11-28T15:56:27.941784
ZC-KG0008,Girl's Black Dress - Graphic,Adorable girl's black dress with graphic design. Casual style.,Kids,Dresses,Girl,Kids,Kids,Black,graphic,casual,extracted-products/female_black_dress_graphic__DSC5389_1.png,,,,published,false,2025-11-28T15:56:27.941882
ZC-F0009,Black Dress - Graphic,Female's black dress with graphic design. Casual style.,Dresses,Dress,Female,Women,Adults,Black,graphic,casual,extracted-products/female_black_dress_graphic__DSC6503_1.png,model-poses/female_casual_chic_front_standing__DSC6503.png,model-poses/female_casual_chic_three_quarter__DSC6503.png,model-poses/female_casual_chic_casual_lifestyle__DSC6503.png,published,false,2025-11-28T15:56:27.941943
ZC-F0010,Black Dress,Female's black dress. Casual style.,Dresses,Dress,Female,Women,Adults,Black,,casual,extracted-products/female_black_dress_SONY_ILCE-7RM5_9600x6376_000156_1.png,,,,published,false,2025-11-28T15:56:27.942004
ZC-F0011,Black Dress - Speckled,Female's black dress with speckled design. Casual style.,Dresses,Dress,Female,Women,Adults,Black,speckled,casual,extracted-products/female_black_dress_speckled__DSC4127_Large_1.png,model-poses/female_casual_chic_front_standing__DSC4127_Large.png,model-poses/female_casual_chic_three_quarter__DSC4127_Large.png,model-poses/female_casual_chic_casual_lifestyle__DSC4127_Large.png,published,false,2025-11-28T15:56:27.942742
ZC-F0012,Black Dress,Female's black dress. Casual style.,Dresses,Dress,Female,Women,Adults,Black,,casual,extracted-products/female_black_dress__DSC4537_Large_1.png,model-poses/female_cocktail_front_standing__DSC4537_Large.png,model-poses/female_cocktail_three_quarter__DSC4537_Large.png,model-poses/female_cocktail_casual_lifestyle__DSC4537_Large.png,published,false,2025-11-28T15:56:27.942866
ZC-F0013,Black Hoodie - Graphic,Female's black hoodie with graphic design. Streetwear style.,Tops,Hoodie,Female,Women,Adults,Black,graphic,streetwear,extracted-products/female_black_hoodie_graphic_print_streetwear__DSC6406.png,model-poses/female_casual_front_standing__DSC6406.png,model-poses/female_casual_three_quarter__DSC6406.png,model-poses/female_casual_casual_lifestyle__DSC6406.png,published,false,2025-11-28T15:56:27.942961
ZC-F0014,Black Hoodie - Graphic,Female's black hoodie with graphic design. Casual style.,Tops,Hoodie,Female,Women,Adults,Black,graphic,casual,extracted-products/female_black_hoodie_graphic__DSC3510_Large_1.png,model-poses/female_streetwear_front_standing__DSC3510_Large.png,model-poses/female_streetwear_three_quarter__DSC3510_Large.png,model-poses/female_streetwear_casual_lifestyle__DSC3510_Large.png,published,false,2025-11-28T15:56:27.943029
ZC-F0015,Black Hoodie - Graphic,Female's black hoodie with graphic design. Casual style.,Tops,Hoodie,Female,Women,Adults,Black,graphic,casual,extracted-products/female_black_hoodie_graphic__DSC6406_1.png,model-poses/female_casual_front_standing__DSC6406.png,model-poses/female_casual_three_quarter__DSC6406.png,model-poses/female_casual_casual_lifestyle__DSC6406.png,published,false,2025-11-28T15:56:27.943141
ZC-F0016,Black Dress - Minimalist,Female's black dress with minimalist design. Minimalist style.,Dresses,Dress,Female,Women,Adults,Black,minimalist,minimalist,extracted-products/female_black_midi_slip_dress_minimalist_SONY_ILCE_7RM5_9600x.png,,,,published,false,2025-11-28T15:56:27.943207
ZC-F0017,Black Dress - Graphic,Female's black dress with graphic design. Casual style.,Dresses,Dress,Female,Women,Adults,Black,graphic,casual,extracted-products/female_black_mini_dress_graphic_print_casual__DSC6503.png,model-poses/female_casual_chic_front_standing__DSC6503.png,model-poses/female_casual_chic_three_quarter__DSC6503.png,model-poses/female_casual_chic_casual_lifestyle__DSC6503.png,published,false,2025-11-28T15:56:27.943265
ZC-F0018,Black Mules,Female's black mules. Casual style.,Footwear,Mules,Female,Women,Adults,Black,,casual,extracted-products/female_black_mules_SONY_ILCE-7RM5_9600x6376_000156_2.png,,,,published,false,2025-11-28T15:56:27.943329
ZC-F0019,Black Mules,Female's black mules. Casual style.,Footwear,Mules,Female,Women,Adults,Black,,casual,extracted-products/female_black_mules__DSC4039_Large_3.png,model-poses/female_casual_front_standing__DSC4039_Large.png,model-poses/female_casual_three_quarter__DSC4039_Large.png,model-poses/female_casual_casual_lifestyle__DSC4039_Large.png,published,false,2025-11-28T15:56:27.943383
ZC-F0020,Black Pants,Female's black pants. Casual style.,Bottoms,Pants,Female,Women,Adults,Black,,casual,extracted-products/female_black_pants_file_1616x1080_001321_Large_2.png,,,,published,false,2025-11-28T15:56:27.943443
ZC-F0021,Black Pants,Female's black pants. Casual style.,Bottoms,Pants,Female,Women,Adults,Black,,casual,extracted-products/female_black_pants__DSC3713_Large_3.png,model-poses/model2_female_casual_front_standing__DSC3713_Large.png,model-poses/model2_female_casual_three_quarter__DSC3713_Large.png,model-poses/model2_female_casual_casual_lifestyle__DSC3713_Large.png,published,false,2025-11-28T15:56:27.943494
ZC-F0022,Black Pants,Female's black pants. Casual style.,Bottoms,Pants,Female,Women,Adults,Black,,casual,extracted-products/female_black_pants__DSC4447_Large_2.png,model-poses/model2_female_streetwear_front_standing__DSC4447_Large.png,model-poses/model2_female_streetwear_three_quarter__DSC4447_Large.png,model-poses/model2_female_streetwear_casual_lifestyle__DSC4447_Large.png,published,false,2025-11-28T15:56:27.943559
ZC-F0023,Black Pants,Female's black pants. Casual style.,Bottoms,Pants,Female,Women,Adults,Black,,casual,extracted-products/female_black_pants__DSC5314_2.png,model-poses/female_casual_front_standing__DSC5314.png,model-poses/female_casual_three_quarter__DSC5314.png,model-poses/female_casual_casual_lifestyle__DSC5314.png,published,false,2025-11-28T15:56:27.943619
ZC-F0024,Black Shirt,Female's black shirt. Casual style.,Tops,Shirt,Female,Women,Adults,Black,,casual,extracted-products/female_black_polo_shirt__DSC6224_1.png,model-poses/female_casual_front_standing__DSC6224.png,model-poses/female_casual_three_quarter__DSC6224.png,model-poses/female_casual_casual_lifestyle__DSC6224.png,published,false,2025-11-28T15:56:27.943742
ZC-F0025,Black Sweater - Striped,Female's black sweater with striped design. Casual style.,Tops,Sweater,Female,Women,Adults,Black,striped,casual,extracted-products/female_black_sweater_striped__DSC4039_Large_1.png,model-poses/female_casual_front_standing__DSC4039_Large.png,model-poses/female_casual_three_quarter__DSC4039_Large.png,model-poses/female_casual_casual_lifestyle__DSC4039_Large.png,published,false,2025-11-28T15:56:27.943815
ZC-F0026,Black Top,Female's black top. Casual style.,Tops,Top,Female,Women,Adults,Black,,casual,extracted-products/female_black_top_under__DSC4648_Large_2.png,model-poses/model2_female_casual_front_standing__DSC4648_Large.png,model-poses/model2_female_casual_three_quarter__DSC4648_Large.png,model-poses/model2_female_casual_casual_lifestyle__DSC4648_Large.png,published,false,2025-11-28T15:56:27.943875
ZC-F0027,Black T - Graphic,Female's black t with graphic design. Casual style.,Apparel,T,Female,Women,Adults,Black,graphic,casual,extracted-products/female_black_t_shirt_graphic__DSC4447_Large_1.png,model-poses/model2_female_streetwear_front_standing__DSC4447_Large.png,model-poses/model2_female_streetwear_three_quarter__DSC4447_Large.png,model-poses/model2_female_streetwear_casual_lifestyle__DSC4447_Large.png,published,false,2025-11-28T15:56:27.943941
ZC-F0028,Blue Jacket,Female's blue jacket. Casual style.,Outerwear,Jacket,Female,Women,Adults,Blue,,casual,extracted-products/female_blue_jacket_outer__DSC3713_Large_1.png,model-poses/model2_female_casual_front_standing__DSC3713_Large.png,model-poses/model2_female_casual_three_quarter__DSC3713_Large.png,model-poses/model2_female_casual_casual_lifestyle__DSC3713_Large.png,published,false,2025-11-28T15:56:27.944006
ZC-F0029,Blue Jeans - Graphic,Female's blue jeans with graphic design. Casual style.,Bottoms,Jeans,Female,Women,Adults,Blue,graphic,casual,extracted-products/female_blue_jeans_graphic__DSC6271_2.png,model-poses/female_casual_front_standing__DSC6271.png,model-poses/female_casual_three_quarter__DSC6271.png,model-poses/female_casual_casual_lifestyle__DSC6271.png,published,false,2025-11-28T15:56:27.944064
ZC-F0030,Blue Jeans,Female's blue jeans. Casual style.,Bottoms,Jeans,Female,Women,Adults,Blue,,casual,extracted-products/female_blue_jeans__DSC3510_Large_2.png,model-poses/female_streetwear_front_standing__DSC3510_Large.png,model-poses/female_streetwear_three_quarter__DSC3510_Large.png,model-poses/female_streetwear_casual_lifestyle__DSC3510_Large.png,published,false,2025-11-28T15:56:27.944147
ZC-F0031,Blue Jeans,Female's blue jeans. Casual style.,Bottoms,Jeans,Female,Women,Adults,Blue,,casual,extracted-products/female_blue_jeans__DSC6406_2.png,model-poses/female_casual_front_standing__DSC6406.png,model-poses/female_casual_three_quarter__DSC6406.png,model-poses/female_casual_casual_lifestyle__DSC6406.png,published,false,2025-11-28T15:56:27.944202
ZC-F0032,Blue Jeans,Female's blue jeans. Casual style.,Bottoms,Jeans,Female,Women,Adults,Blue,,casual,extracted-products/female_blue_jeans__DSC6666_2.png,model-poses/female_streetwear_front_standing__DSC6666.png,model-poses/female_streetwear_three_quarter__DSC6666.png,model-poses/female_streetwear_casual_lifestyle__DSC6666.png,published,false,2025-11-28T15:56:27.944255
ZC-F0033,Blue Skirt,Female's blue skirt. Casual style.,Bottoms,Skirt,Female,Women,Adults,Blue,,casual,extracted-products/female_blue_skirt__DSC4039_Large_2.png,model-poses/female_casual_front_standing__DSC4039_Large.png,model-poses/female_casual_three_quarter__DSC4039_Large.png,model-poses/female_casual_casual_lifestyle__DSC4039_Large.png,published,false,2025-11-28T15:56:27.944310
ZC-F0034,Bright Top - Graphic,Female's bright top with graphic design. Casual style.,Tops,Top,Female,Women,Adults,Bright,graphic,casual,extracted-products/female_bright_red_sleeveless_ribbed_knit_top_graphic_print_casual__DSC6271.png,model-poses/female_casual_front_standing__DSC6271.png,model-poses/female_casual_three_quarter__DSC6271.png,model-poses/female_casual_casual_lifestyle__DSC6271.png,published,false,2025-11-28T15:56:27.944369
ZC-F0035,Caramel Blouse - Graphic,Female's caramel blouse with graphic design. Vintage style.,Tops,Blouse,Female,Women,Adults,Caramel,graphic,vintage,extracted-products/female_caramel_brown_cropped_blouse_graphic_print_vintage_SONY_ILCE_7RM5_6304x.png,,,,published,false,2025-11-28T15:56:27.944429
ZC-F0036,Cream Hoodie - Graphic,Female's cream hoodie with graphic design. Athleisure style.,Tops,Hoodie,Female,Women,Adults,Cream,graphic,athleisure,extracted-products/female_cream_beige_cropped_hoodie_and_wide-leg_sw_graphic_print_athleisure_SONY_ILCE_7RM5_9600x.png,,,,published,false,2025-11-28T15:56:27.944482
ZC-KG0037,Girl's Cream Dress - Graphic,Adorable girl's cream dress with graphic design. Casual style.,Kids,Dresses,Girl,Kids,Kids,Cream,graphic,casual,extracted-products/female_cream_dress_graphic_print_casual__DSC5663.png,,,,published,false,2025-11-28T15:56:27.944541
ZC-F0038,Cream Tunic - Embroidered,Female's cream tunic with embroidered design. Bohemian style.,Tops,Tunic,Female,Women,Adults,Cream,embroidered,bohemian,extracted-products/female_cream_embroidered_tunic_blouse_graphic_print_bohemian_file_1616x1080_00132.png,,,,published,false,2025-11-28T15:56:27.944593
ZC-F0039,Cream T Shirt - Graphic,Female's cream t shirt with graphic design. Streetwear style.,Tops,T-Shirt,Female,Women,Adults,Cream,graphic,streetwear,extracted-products/female_cream_graphic_t-shirt_graphic_print_streetwear__DSC6666.png,model-poses/female_streetwear_front_standing__DSC6666.png,model-poses/female_streetwear_three_quarter__DSC6666.png,model-poses/female_streetwear_casual_lifestyle__DSC6666.png,published,false,2025-11-28T15:56:27.944648
ZC-F0040,Dark Pants,Female's dark pants. Casual style.,Bottoms,Pants,Female,Women,Adults,Dark,,casual,extracted-products/female_dark_blue_cargo_pants__DSC4744_Large_2.png,model-poses/model2_female_casual_chic_front_standing__DSC4744_Large.png,model-poses/model2_female_casual_chic_three_quarter__DSC4744_Large.png,model-poses/model2_female_casual_chic_casual_lifestyle__DSC4744_Large.png,published,false,2025-11-28T15:56:27.944710
ZC-KG0041,Girl's Dark Jacket,Adorable girl's dark jacket. Casual style.,Kids,Outerwear,Girl,Kids,Kids,Dark,,casual,extracted-products/female_dark_blue_jacket_outer__DSC6428_2.png,,,,published,false,2025-11-28T15:56:27.944768
ZC-F0042,Dark Dress - Graphic,Female's dark dress with graphic design. Bohemian style.,Dresses,Dress,Female,Women,Adults,Dark,graphic,bohemian,extracted-products/female_dark_teal_green_tiered_midi_dress_graphic_print_bohemian_SONY_ILCE_7RM5_9600x.png,,,,published,false,2025-11-28T15:56:27.944820
ZC-KG0043,Girl's Dusty Tracksuit,Adorable girl's dusty tracksuit. Athleisure style.,Kids,Tracksuit,Girl,Kids,Kids,Dusty,,athleisure,extracted-products/female_dusty_rose_pink_tracksuit_athleisure__DSC6165.png,,,,published,false,2025-11-28T15:56:27.944875
ZC-KG0044,Girl's Green Dress - Graphic,Adorable girl's green dress with graphic design. Casual style.,Kids,Dresses,Girl,Kids,Kids,Green,graphic,casual,extracted-products/female_green_dress_graphic_file_1616x1080_001003_Large_1.png,,,,published,false,2025-11-28T15:56:27.944923
ZC-KG0045,Girl's Green Dress - Graphic,Adorable girl's green dress with graphic design. Casual style.,Kids,Dresses,Girl,Kids,Kids,Green,graphic,casual,extracted-products/female_green_dress_graphic_SONY_ILCE-7RM5_9600x6376_000295_1.png,,,,published,false,2025-11-28T15:56:27.944971
ZC-F0046,Hot Tunic - Floral,Female's hot tunic with floral design. Casual style.,Tops,Tunic,Female,Women,Adults,Hot,floral,casual,extracted-products/female_hot_pink_floral_print_tunic_and_trouser_graphic_print_casual_SONY_ILCE_7RM5_9600x.png,,,,published,false,2025-11-28T15:56:27.945021
ZC-KG0047,Girl's Light Flats,Adorable girl's light flats. Casual style.,Kids,Flats,Girl,Kids,Kids,Light,,casual,extracted-products/female_light_beige_ballet_flats__DSC5817_2.png,,,,published,false,2025-11-28T15:56:27.945133
ZC-F0048,Light Shirt - Graphic,Female's light shirt with graphic design. Casual style.,Tops,Shirt,Female,Women,Adults,Light,graphic,casual,extracted-products/female_light_beige_button_up_shirt_graphic__DSC6321_1.png,model-poses/female_casual_front_standing__DSC6321.png,model-poses/female_casual_three_quarter__DSC6321.png,model-poses/female_casual_casual_lifestyle__DSC6321.png,published,false,2025-11-28T15:56:27.945229
ZC-F0049,Light Pants - Graphic,Female's light pants with graphic design. Casual style.,Bottoms,Pants,Female,Women,Adults,Light,graphic,casual,extracted-products/female_light_beige_pants_graphic__DSC6321_2.png,model-poses/female_casual_front_standing__DSC6321.png,model-poses/female_casual_three_quarter__DSC6321.png,model-poses/female_casual_casual_lifestyle__DSC6321.png,published,false,2025-11-28T15:56:27.945290
ZC-KG0050,Girl's Light Hoodie - Graphic,Adorable girl's light hoodie with graphic design. Casual style.,Kids,Tops,Girl,Kids,Kids,Light,graphic,casual,extracted-products/female_light_blue_hoodie_graphic__DSC5314_1.png,,,,published,false,2025-11-28T15:56:27.945347
ZC-F0051,Light Jacket,Female's light jacket. Casual style.,Outerwear,Jacket,Female,Women,Adults,Light,,casual,extracted-products/female_light_blue_jacket_outer__DSC4404_Large_1.png,model-poses/model2_female_casual_front_standing__DSC4404_Large.png,model-poses/model2_female_casual_three_quarter__DSC4404_Large.png,model-poses/model2_female_casual_casual_lifestyle__DSC4404_Large.png,published,false,2025-11-28T15:56:27.945399
ZC-F0052,Light Jacket,Female's light jacket. Casual style.,Outerwear,Jacket,Female,Women,Adults,Light,,casual,extracted-products/female_light_blue_jacket_outer__DSC5713_2.png,model-poses/female_casual_front_standing__DSC5713.png,model-poses/female_casual_three_quarter__DSC5713.png,model-poses/female_casual_casual_lifestyle__DSC5713.png,published,false,2025-11-28T15:56:27.945682
ZC-F0053,Light Jeans,Female's light jeans. Casual style.,Bottoms,Jeans,Female,Women,Adults,Light,,casual,extracted-products/female_light_blue_jeans__DSC4404_Large_3.png,model-poses/model2_female_casual_front_standing__DSC4404_Large.png,model-poses/model2_female_casual_three_quarter__DSC4404_Large.png,model-poses/model2_female_casual_casual_lifestyle__DSC4404_Large.png,published,false,2025-11-28T15:56:27.946000
ZC-KG0054,Girl's Light Jeans,Adorable girl's light jeans. Casual style.,Kids,Bottoms,Girl,Kids,Kids,Light,,casual,extracted-products/female_light_blue_jeans__DSC5713_3.png,,,,published,false,2025-11-28T15:56:27.946092
ZC-F0055,Light Jeans,Female's light jeans. Casual style.,Bottoms,Jeans,Female,Women,Adults,Light,,casual,extracted-products/female_light_blue_jeans__DSC6224_2.png,model-poses/female_casual_front_standing__DSC6224.png,model-poses/female_casual_three_quarter__DSC6224.png,model-poses/female_casual_casual_lifestyle__DSC6224.png,published,false,2025-11-28T15:56:27.946153
ZC-F0056,Light Dress,Female's light dress. Casual style.,Dresses,Dress,Female,Women,Adults,Light,,casual,extracted-products/female_light_green_dress_ribbed__DSC6428_1.png,model-poses/female_casual_chic_front_standing__DSC6428.png,model-poses/female_casual_chic_three_quarter__DSC6428.png,model-poses/female_casual_chic_casual_lifestyle__DSC6428.png,published,false,2025-11-28T15:56:27.946217
ZC-F0057,Light Apparel,Female's light apparel. Casual style.,Apparel,Apparel,Female,Women,Adults,Light,,casual,extracted-products/female_light_grey_heels_file_1616x1080_001036_Large_2.png,,,,published,false,2025-11-28T15:56:27.946286
ZC-F0058,Light Top,Female's light top. Casual style.,Tops,Top,Female,Women,Adults,Light,,casual,extracted-products/female_light_grey_sleeveless_top__DSC4744_Large_1.png,model-poses/model2_female_casual_chic_front_standing__DSC4744_Large.png,model-poses/model2_female_casual_chic_three_quarter__DSC4744_Large.png,model-poses/model2_female_casual_chic_casual_lifestyle__DSC4744_Large.png,published,false,2025-11-28T15:56:27.946343
ZC-F0059,Light Jacket,Female's light jacket. Casual style.,Outerwear,Jacket,Female,Women,Adults,Light,,casual,extracted-products/female_light_purple_jacket_outer__DSC4648_Large_1.png,model-poses/model2_female_casual_front_standing__DSC4648_Large.png,model-poses/model2_female_casual_three_quarter__DSC4648_Large.png,model-poses/model2_female_casual_casual_lifestyle__DSC4648_Large.png,published,false,2025-11-28T15:56:27.946596
ZC-KG0060,Girl's Light Pants,Adorable girl's light pants. Casual style.,Kids,Bottoms,Girl,Kids,Kids,Light,,casual,extracted-products/female_light_purple_pants__DSC4648_Large_3.png,,,,published,false,2025-11-28T15:56:27.946722
ZC-F0061,Light Shirt - Textured,Female's light shirt with textured design. Casual style.,Tops,Shirt,Female,Women,Adults,Light,textured,casual,extracted-products/female_light_taupe_matching_button-up_shirt_and_w_textured_grid_pattern_casual__DSC6321.png,model-poses/female_casual_front_standing__DSC6321.png,model-poses/female_casual_three_quarter__DSC6321.png,model-poses/female_casual_casual_lifestyle__DSC6321.png,published,false,2025-11-28T15:56:27.946784
ZC-KG0062,Girl's Light Dress - Graphic,Adorable girl's light dress with graphic design. Casual style.,Kids,Dresses,Girl,Kids,Kids,Light,graphic,casual,extracted-products/female_light_yellow_dress_graphic_file_1616x1080_001036_Large_1.png,,,,published,false,2025-11-28T15:56:27.948002
ZC-F0063,Lime Dress,Female's lime dress. Casual style.,Dresses,Dress,Female,Women,Adults,Lime,,casual,extracted-products/female_lime_green_mini_dress_casual__DSC6428.png,model-poses/female_casual_chic_front_standing__DSC6428.png,model-poses/female_casual_chic_three_quarter__DSC6428.png,model-poses/female_casual_chic_casual_lifestyle__DSC6428.png,published,false,2025-11-28T15:56:27.948102
